,CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
1400,Latvia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,24,
1401,Latvia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,76,
1402,Malta,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,14,
1403,Malta,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,86,
1404,Netherlands,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,23,
1405,Netherlands,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,77,
1406,Poland,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,23,
1407,Poland,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,77,
1408,Portugal,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,22,
1409,Portugal,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,78,
1410,Romania,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,25,
1411,Romania,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,75,
1412,Sweden,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,14,
1413,Sweden,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,86,
1414,Slovenia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,20,
1415,Slovenia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,80,
1416,Slovakia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,28,
1417,Slovakia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,72,
1418,United Kingdom,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,22,
1419,United Kingdom,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,78,
1420,EU-28,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,22,
1421,EU-28,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,78,
1422,North Macedonia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,35,
1423,North Macedonia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,65,
1424,Serbia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",Yes,28,
1425,Serbia,All,All,DEXindd1_2F,"In the past 12 months have you ever felt discriminated against due to being LGBTI at a cafe, restaurant, bar or nightclub?",No,72,
1426,Austria,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,10,
1427,Austria,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,90,
1428,Belgium,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,13,
