,CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
1429,Belgium,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,87,
1430,Bulgaria,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,20,
1431,Bulgaria,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,80,
1432,Cyprus,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,16,
1433,Cyprus,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,84,
1434,Czechia,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,8,
1435,Czechia,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,92,
1436,Germany,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,13,
1437,Germany,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,87,
1438,Denmark,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,7,
1439,Denmark,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,93,
1440,Estonia,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,11,
1441,Estonia,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,89,
1442,Greece,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,19,
1443,Greece,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,81,
1444,Spain,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,12,
1445,Spain,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,88,
1446,Finland,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,5,
1447,Finland,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,95,
1448,France,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,13,
1449,France,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,87,
1450,Croatia,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,13,
1451,Croatia,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,87,
1452,Hungary,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,12,
1453,Hungary,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,88,
1454,Ireland,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,9,
1455,Ireland,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,91,
1456,Italy,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,14,
1457,Italy,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,86,
1458,Lithuania,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,19,
1459,Lithuania,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,81,
1460,Luxembourg,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,12,
1461,Luxembourg,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,88,
1462,Latvia,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,18,
1463,Latvia,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,No,82,
1464,Malta,All,All,DEXindd1_2G,In the past 12 months have you ever felt discriminated against due to being LGBTI at a shop?,Yes,10,
