CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Cyprus,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Cyprus,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Cyprus,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Cyprus,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Cyprus,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Czechia,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,86,‡
Czechia,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,14,‡
Czechia,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,54,
Czechia,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,46,
Czechia,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,95,‡
Czechia,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,No,5,‡
Czechia,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,74,
Czechia,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,No,26,
Czechia,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Czechia,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Czechia,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,83,‡
Czechia,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,No,17,‡
Czechia,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,71,‡
Czechia,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,29,‡
Czechia,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Czechia,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Czechia,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Czechia,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Germany,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,64,
Germany,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,36,
Germany,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,52,
Germany,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,48,
Germany,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,68,
Germany,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,No,32,
Germany,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,50,
Germany,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,No,50,
Germany,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,42,
Germany,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,No,58,
Germany,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,55,
Germany,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,No,45,
Germany,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,49,
Germany,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,51,
Germany,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,44,
Germany,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,56,
Germany,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Germany,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Denmark,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,67,
Denmark,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,33,
Denmark,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,58,
Denmark,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,42,
Denmark,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,79,‡
Denmark,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,No,21,‡
Denmark,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,72,
Denmark,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,No,28,
Denmark,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,75,‡
Denmark,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,No,25,‡
Denmark,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,93,
Denmark,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,No,7,‡
Denmark,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Denmark,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Denmark,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Denmark,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Estonia,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,31,‡
Estonia,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,69,‡
Estonia,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,23,‡
Estonia,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,77,‡
Estonia,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Estonia,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Estonia,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,50,‡
Estonia,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,No,50,‡
Estonia,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Estonia,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Estonia,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Estonia,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Estonia,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,27,‡
Estonia,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,73,‡
Estonia,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Estonia,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Estonia,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Estonia,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Greece,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,96,‡
Greece,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,4,‡
Greece,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,85,
Greece,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,15,
Greece,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,93,‡
Greece,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,No,7,‡
Greece,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,89,
Greece,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,No,11,‡
Greece,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,88,‡
Greece,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,No,12,‡
Greece,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,93,
Greece,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,No,7,‡
Greece,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,61,
Greece,All,Gender-fluid,DEXaware_eqbod,Knowledge of at least one equality body in country,No,39,
Greece,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,87,‡
Greece,All,Agender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,13,‡
Greece,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,:, [1] 
Greece,All,Polygender,DEXaware_eqbod,Knowledge of at least one equality body in country,No,:, [1] 
Spain,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,51,
Spain,All,Trans woman,DEXaware_eqbod,Knowledge of at least one equality body in country,No,49,
Spain,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,45,
Spain,All,Trans man,DEXaware_eqbod,Knowledge of at least one equality body in country,No,55,
Spain,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,73,
Spain,All,Trans person,DEXaware_eqbod,Knowledge of at least one equality body in country,No,27,
Spain,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,66,
Spain,All,Non-binary,DEXaware_eqbod,Knowledge of at least one equality body in country,No,34,
Spain,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,21,‡
Spain,All,Cross-dresser,DEXaware_eqbod,Knowledge of at least one equality body in country,No,79,‡
Spain,All,Genderqueer,DEXaware_eqbod,Knowledge of at least one equality body in country,Yes,65,
