CountryCode,target_group,subset,question_code,question_label,answer,percentage,notes
Austria,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,:, [1] 
Austria,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,:, [1] 
Austria,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,:, [1] 
Belgium,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,24,‡
Belgium,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,14,‡
Belgium,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,38,
Belgium,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,9,‡
Belgium,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,8,‡
Belgium,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,1,‡
Belgium,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,6,‡
Belgium,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Belgium,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,0,‡
Belgium,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,12,‡
Belgium,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,20,‡
Belgium,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,32,
Belgium,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,21,
Belgium,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,8,‡
Belgium,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,2,‡
Belgium,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,6,‡
Belgium,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Belgium,Trans people,Trans man,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,0,‡
Belgium,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,25,‡
Belgium,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,31,‡
Belgium,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,15,‡
Belgium,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,2,‡
Belgium,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,6,‡
Belgium,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,1,‡
Belgium,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,4,‡
Belgium,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,11,‡
Belgium,Trans people,Trans person,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,4,‡
Belgium,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,10,‡
Belgium,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,20,‡
Belgium,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,12,‡
Belgium,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,12,‡
Belgium,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,20,
Belgium,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,19,‡
Belgium,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,6,‡
Belgium,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Belgium,Trans people,Non-binary,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,1,‡
Belgium,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,:, [1] 
Belgium,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,:, [1] 
Belgium,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,:, [1] 
Belgium,Trans people,Cross-dresser,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,:, [1] 
Belgium,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,7,‡
Belgium,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,38,‡
Belgium,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,16,‡
Belgium,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,14,‡
Belgium,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,9,‡
Belgium,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,2,‡
Belgium,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,6,‡
Belgium,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Belgium,Trans people,Genderqueer,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,7,‡
Belgium,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,18,‡
Belgium,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,15,‡
Belgium,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,21,‡
Belgium,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,16,‡
Belgium,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,10,‡
Belgium,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,9,‡
Belgium,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,7,‡
Belgium,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,55y.o. or more,0,‡
Belgium,Trans people,Gender-fluid,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,2,‡
Belgium,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,8,‡
Belgium,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,7,‡
Belgium,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,21,‡
Belgium,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,17,‡
Belgium,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,19,‡
Belgium,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,3,‡
Belgium,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,0,‡
Belgium,Trans people,Agender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,25,‡
Belgium,Trans people,Polygender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,:, [1] 
Belgium,Trans people,Polygender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,:, [1] 
Belgium,Trans people,Polygender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,:, [1] 
Belgium,Trans people,Polygender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,:, [1] 
Belgium,Trans people,Polygender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,:, [1] 
Belgium,Trans people,Polygender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,:, [1] 
Belgium,Trans people,Polygender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,:, [1] 
Belgium,Trans people,Polygender,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,Prefer not to say,:, [1] 
Bulgaria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,5y.o. or less,:, [1] 
Bulgaria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,6-9y.o.,:, [1] 
Bulgaria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,10-14y.o.,:, [1] 
Bulgaria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,15-17y.o.,:, [1] 
Bulgaria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,18-24y.o.,:, [1] 
Bulgaria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,25-34y.o.,:, [1] 
Bulgaria,Trans people,Trans woman,DEXtr1,At what age did you first realise that your feelings about your gender did not match the gender assigned to you at birth?,35-54y.o.,:, [1] 
